"","measurement_ID_A","measurement_ID_P","mean_A","mean_P","sd_A","sd_P","n_A","n_P","life_stage_A","life_stage_P","sample_type_A","sample_type_P","sampling_location_A","sampling_location_P","limit_type_A","limit_type_P","LOD_A","LOD_P","LOQ_A","LOQ_P","sampling_year_A","sampling_year_P","sampling_month_A","sampling_month_P","developmental_stage_A","developmental_stage_P","breeding_stage","laying_order","nest","body_weight_mean","body_weight_sd","egg_weight_mean","egg_weight_sd","data_pooled","es_ID","study_ID","species_ID","pfas_ID","study_title","author_year","year_publication","article_digital_object_identifier","journal","coi_statement","funding_statement","raw_data","analysis_code","species_common_name","species_scientific_name","taxonomic_order","seabird","main_food_type","diet","clutch_size","pfas_type_acronym","pfas_type_full_name","carbon_chain_length","functional_group","molecular_weight","Phylogeny","b_CV2_1","b_CV2_2","N_tilde","ess.se","lnRR","var_lnRR"
"198","m_208","m_232",1.44,4.6,0.6,1.38,14,11,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden",NA,NA,NA,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",2,"Yes",317,NA,50.5,NA,"No","es_224","S_006","se_006","pfas_013","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"PFTeDA","Perfluorotetradecanoate / Perfluorotetradecanoic acid",14,"Carboxylate / carboxylic acid",714.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,6.16,2.48193472919817,1.15721773432252,0.0520902298166061
"199","m_235","m_236",0.056568542,0.1,NA,0.03,14,11,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden","LOD",NA,0.08,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",NA,"Yes",317,NA,50.5,NA,"No","es_225","S_006","se_006","pfas_016","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"PFHpS","Perfluoroheptane sulfonate / Perfluoroheptane sulfonic acid",7,"Sulfonate / sulfonic acid",450.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,6.16,2.48193472919817,0.565521694758665,0.0520902298166061
"200","m_239","m_240",0.084852814,0.24,NA,0.08,14,21,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden","LOD",NA,0.12,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",NA,"Yes",317,NA,50.5,NA,"No","es_226","S_006","se_006","pfas_017","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"PFHxDA","Perfluorohexadecanoate / Perfluorohexadecanoic acid",16,"Carboxylate / carboxylic acid",814.13,"Rissa_tridactyla",0.423367986900876,0.24034625256055,8.4,2.89827534923789,1.03032301238031,0.0416856301386602
"201","m_241","m_242",0.070710678,0.21,NA,0.09,14,21,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden","LOD",NA,0.1,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",NA,"Yes",317,NA,50.5,NA,"No","es_227","S_006","se_006","pfas_018","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"7:3 FTCA","7:3 fluorotelomer carboxylic acid",10,"Carboxylate / carboxylic acid",NA,"Rissa_tridactyla",0.423367986900876,0.24034625256055,8.4,2.89827534923789,1.07911318126379,0.0416856301386602
"202","m_200","m_212",0.75,3,0.49,1.01,14,14,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden",NA,NA,NA,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",1,"Yes",317,NA,50.5,NA,"No","es_228","S_006","se_006","pfas_019","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"brPFOS","Branched Perfluorooctane sulfonate / Perfluorooctane sulfonic acid",8,"Sulfonate / sulfonic acid",500.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,7,2.64575131106459,1.37975787060774,0.0474081599615305
"203","m_200","m_224",0.75,1.93,0.49,0.77,14,11,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden",NA,NA,NA,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",2,"Yes",317,NA,50.5,NA,"No","es_229","S_006","se_006","pfas_019","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"brPFOS","Branched Perfluorooctane sulfonate / Perfluorooctane sulfonic acid",8,"Sulfonate / sulfonic acid",500.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,6.16,2.48193472919817,0.941006619783958,0.0520902298166061
"204","m_201","m_213",10.8,28.6,4.7,10.3,14,14,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden",NA,NA,NA,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",1,"Yes",317,NA,50.5,NA,"No","es_230","S_006","se_006","pfas_020","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"linPFOS","Linear Perfluorooctane sulfonate / Perfluorooctane sulfonic acid",8,"Sulfonate / sulfonic acid",500.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,7,2.64575131106459,0.967324093183478,0.0474081599615305
"205","m_201","m_225",10.8,21.3,4.7,7.9,14,11,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden",NA,NA,NA,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",2,"Yes",317,NA,50.5,NA,"No","es_231","S_006","se_006","pfas_020","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"linPFOS","Linear Perfluorooctane sulfonate / Perfluorooctane sulfonic acid",8,"Sulfonate / sulfonic acid",500.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,6.16,2.48193472919817,0.674965483000589,0.0520902298166061
"206","m_243","m_244",0.070710678,0.11,NA,NA,14,1,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden","LOD",NA,0.1,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",NA,"Yes",317,NA,50.5,NA,"No","es_232","S_006","se_006","pfas_021","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"ADONA","Dodecafluoro-3H-4,8-dioxanonanoate",7,NA,378.1,"Rissa_tridactyla",0.423367986900876,0.24034625256055,0.933333333333333,0.966091783079296,0.546936612796144,0.27058682305347
"207","m_210","m_222",20.73,70.1,8.85,15.4,14,14,"adult","egg","plasma","yolk","“Krykkjefjellet” in Kongsfjorden","“Krykkjefjellet” in Kongsfjorden",NA,NA,NA,NA,NA,NA,"2019","2019","May","June",NA,"eggs collected less than 24 h after they were laid","pre-laying",1,"Yes",317,NA,50.5,NA,"No","es_233","S_006","se_006","pfas_023","A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- and Perfluoroalkyl Substances to Eggs in an Arctic Seabird","Jouanneau_2021",2021,"10.1021/acs.est.1c03773","Environmental Science & Technology","Yes","Yes","No","No","Black-legged kittiwake","Rissa tridactyla","Charadriiformes","Yes","Marine invertebrates","Piscivorous",2,"∑PFCAs","Perfluoroalkyl carboxylic acids / Perfluorinated carboxylates",NA,"Carboxylate / carboxylic acid",NA,"Rissa_tridactyla",0.423367986900876,0.24034625256055,7,2.64575131106459,1.2118043770807,0.0474081599615305
